Quarterly,Growth
2000Q1,1.03039
2000Q2,2.45488
2000Q3,0.68742
2000Q4,1.13953
2001Q1,0.33047
2001Q2,1.22986
2001Q3,-0.00925
2001Q4,0.58921
2002Q1,1.15412
2002Q2,0.96407
2002Q3,0.88708
2002Q4,0.70460
2003Q1,1.01882
2003Q2,1.24070
2003Q3,2.24439
2003Q4,1.77722
2004Q1,1.28449
2004Q2,1.58820
2004Q3,1.58916
2004Q4,1.80334
2005Q1,1.91640
2005Q2,1.21694
2005Q3,1.70233
2005Q4,1.38147
2006Q1,2.06358
2006Q2,1.13436
2006Q3,0.84898
2006Q4,1.22112
2007Q1,1.25425
2007Q2,1.31145
2007Q3,1.12508
2007Q4,1.03639
2008Q1,-0.05790
2008Q2,1.08226
2008Q3,0.22399
2008Q4,-1.95174
2009Q1,-1.21375
2009Q2,-0.34416
2009Q3,0.47038
2009Q4,1.40057
2010Q1,0.77373
2010Q2,1.46013
2010Q3,1.07752
2010Q4,1.10865
2011Q1,0.27417
2011Q2,1.34249
2011Q3,0.57940
2011Q4,1.24350
2012Q1,1.43001
2012Q2,0.86074
2012Q3,0.69368
2012Q4,0.61814
2013Q1,1.38711
2013Q2,0.48352
2013Q3,1.34590
2013Q4,1.40488
2014Q1,0.03327
2014Q2,1.86519
2014Q3,1.63096
2014Q4,0.60576
2015Q1,0.84552
2015Q2,1.19719
2015Q3,0.66654
2015Q4,0.18211
2016Q1,0.49252
2016Q2,1.00275
2016Q3,0.96697
2016Q4,1.04136
2017Q1,0.99901
2017Q2,0.82240
2017Q3,1.30643
2017Q4,1.74935
2018Q1,1.45463
2018Q2,1.24140
2018Q3,1.05835
2018Q4,0.57281
2019Q1,0.89046
2019Q2,1.32980
2019Q3,1.44732
2019Q4,0.95928
2020Q1,-0.89432
2020Q2,-8.26190
2020Q3,8.71031
2020Q4,1.74089
2021Q1,2.61383
2021Q2,3.06271
2021Q3,2.30381
2021Q4,3.46482
2022Q1,1.51904
2022Q2,2.05823
2022Q3,1.76308
2022Q4,1.59174
2023Q1,1.53434
2023Q2,0.93017
2023Q3,2.02164
2023Q4,1.21151
